2025-11-12T15:15:27.367705827Z [inf]  2025-11-12 15:15:27 - [РУ]SPAMTON (8562577029) написал: 'Он не знает где туалетная бумага'
2025-11-12T15:16:31.604427704Z [inf]  2025-11-12 15:16:30 - [РУ]Mr.Kot (7802831096) написал: 'Когда 20 серия'
2025-11-12T15:16:36.375020678Z [inf]  2025-11-12 15:16:36 - [РУ]Бот ответил Mr.Kot (7802831096) (модель: meta-llama/llama-4-maverick-17b-128e-instruct) (token usage: 469): '*рычит* Хуй тебе, а не "когда 20 серия". Не пизди, мы в Зоне, а не в телевизоре. Новая серия? Да похуй на неё, у нас аномалии под ногами.'
2025-11-12T15:16:57.511576358Z [inf]  2025-11-12 15:16:56 - [РУ]. (5966303668) написал: 'Ладно 
2025-11-12T15:16:59.508575115Z [inf]  2025-11-12 15:16:58 - [РУ]Бот ответил . (5966303668) (модель: llama-3.1-8b-instant) (token usage: 561): 'Ага, ладно, сука. Хочу сказать, что я Пончик, легенда Зоны, и я готов убивать за Бублика, моего любимого плюшевого медведя.'
2025-11-12T15:17:01.576016505Z [inf]  2025-11-12 15:17:01 - [РУ]Даниил (5205155596) написал: 'А почему Буратино не зовёшь'
2025-11-12T15:17:04.574805839Z [inf]  2025-11-12 15:17:02 - [РУ]Бот ответил Даниил (5205155596) (модель: qwen/qwen3-32b) (token usage: 667): 'Ошибка. Ответ слишком большой'
2025-11-12T15:17:05.844712125Z [inf]  2025-11-12 15:17:05 - [РУ]Mr.Kot (7802831096) написал: 'Хуй с маслом или хуй с солью ?'
2025-11-12T15:17:08.182820349Z [inf]  2025-11-12 15:17:06 - [РУ]Бот ответил Mr.Kot (7802831096) (модель: qwen/qwen3-32b) (token usage: 669): 'Ошибка. Ответ слишком большой'
2025-11-12T15:17:08.182832333Z [inf]  2025-11-12 15:17:07 - [РУ]𝑽𝒊𝒌𝒂 𝑺𝒉𝒓𝒂𝒎𝒊𝒌 (1447354060) написал: 'Не наглей, а просто дай концовку'
2025-11-12T15:17:09.660599628Z [inf]  2025-11-12 15:17:08 - [РУ]Бот ответил 𝑽𝒊𝒌𝒂 𝑺𝒉𝒓𝒂𝒎𝒊𝒌 (1447354060) (модель: moonshotai/kimi-k2-instruct-0905) (token usage: 625): 'Юра взрывает "О-Сознательность", Ворон уходит в монолит, Буратино съезжает с катушек и исчезает, а я остаюсь один с Бубликом, жру консервы и курю на крыше ЧАЭС – легенда Зоны, блять, в своём репертуаре.'
2025-11-12T15:17:13.605683489Z [inf]  2025-11-12 15:17:12 - [РУ]. (5966303668) написал: 'Скажи ка так точно'
2025-11-12T15:17:17.298823891Z [inf]  2025-11-12 15:17:13 - [РУ]Бот ответил . (5966303668) (модель: qwen/qwen3-32b) (token usage: 635): 'Ошибка. Ответ слишком большой'
2025-11-12T15:17:17.298830754Z [inf]  2025-11-12 15:17:13 - [РУ]Mr.Kot (7802831096) написал: 'Хуй с маслом'
2025-11-12T15:17:19.272190660Z [inf]  2025-11-12 15:17:14 - [РУ]Бот ответил Mr.Kot (7802831096) (модель: qwen/qwen3-32b) (token usage: 649): 'Ошибка. Ответ слишком большой'
2025-11-12T15:17:19.272213433Z [inf]  2025-11-12 15:17:15 - [РУ]Даниил (5205155596) написал: '.'
2025-11-12T15:17:19.278439937Z [inf]  2025-11-12 15:17:18 - [РУ]Mr.Kot (7802831096) написал: 'Ха'
2025-11-12T15:17:21.770442051Z [inf]  2025-11-12 15:17:21 - [РУ]Mr.Kot (7802831096) написал: 'Хуй'
2025-11-12T15:17:24.343970132Z [inf]  2025-11-12 15:17:23 - [РУ]Бот ответил Mr.Kot (7802831096) (модель: meta-llama/llama-4-maverick-17b-128e-instruct) (token usage: 484): 'С хуём твоим я бы сейчас перекусил, жрать охота. Ты б мне хавчика принёс, а не хуйни всякой пиздел.'
2025-11-12T15:17:28.798502682Z [inf]  2025-11-12 15:17:28 - [РУ]. (5966303668) написал: 'Скажи точно'
2025-11-12T15:17:31.128236315Z [inf]  2025-11-12 15:17:29 - [РУ]Бот ответил . (5966303668) (модель: qwen/qwen3-32b) (token usage: 593): 'Ошибка. Ответ слишком большой'
2025-11-12T15:17:37.623456340Z [inf]  2025-11-12 15:17:36 - [РУ]Даниил (5205155596) написал: 'А почему Буратино не зовёшь'
2025-11-12T15:17:39.901043359Z [inf]  2025-11-12 15:17:38 - [РУ]Бот ответил Даниил (5205155596) (модель: qwen/qwen3-32b) (token usage: 642): 'Ошибка. Ответ слишком большой'
2025-11-12T15:17:46.530465146Z [inf]  2025-11-12 15:17:46 - [РУ]Даниил (5205155596) написал: 'Ошибка природы'
2025-11-12T15:17:53.961843729Z [inf]  2025-11-12 15:17:53 - [РУ]Mr.Kot (7802831096) написал: 'Нужны патроны'
2025-11-12T15:17:55.574239750Z [inf]  2025-11-12 15:17:55 - [РУ]Бот ответил Mr.Kot (7802831096) (модель: moonshotai/kimi-k2-instruct) (token usage: 635): 'Патроны? У меня их нет, у самого жопа горит. Иди к Ворону, может, у него остались, пидор старый.'
2025-11-12T15:17:57.049459838Z [inf]  2025-11-12 15:17:55 - [РУ]. (5966303668) написал: 'Скажи ракета'
2025-11-12T15:18:00.995058648Z [inf]  2025-11-12 15:17:56 - [РУ]Бот ответил . (5966303668) (модель: limit_exceeded) (token usage: N/A): 'Мля, я заманался с тобой болтать. Приходи в другой раз. (токены закончились, напиши через несколько часов)'
2025-11-12T15:18:07.052681094Z [inf]  2025-11-12 15:18:06 - [РУ]Mr.Kot (7802831096) написал: '🫡'
2025-11-12T15:18:11.022081463Z [inf]  2025-11-12 15:18:10 - [РУ]. (5966303668) написал: '@PonchikStalker_bot'
2025-11-12T15:18:11.800654984Z [inf]  2025-11-12 15:18:11 - [РУ]Бот ответил . (5966303668) (модель: limit_exceeded) (token usage: N/A): 'Мля, я заманался с тобой болтать. Приходи в другой раз. (токены закончились, напиши через несколько часов)'
2025-11-12T15:18:12.915463196Z [inf]  2025-11-12 15:18:12 - [РУ]Mr.Kot (7802831096) написал: 'Пока'
2025-11-12T15:18:16.337099222Z [inf]  2025-11-12 15:18:13 - [РУ]Бот ответил Mr.Kot (7802831096) (модель: limit_exceeded) (token usage: N/A): 'Мля, я заманался с тобой болтать. Приходи в другой раз. (токены закончились, напиши через несколько часов)'
2025-11-12T15:18:16.337111596Z [inf]  2025-11-12 15:18:14 - [РУ]Даниил (5205155596) написал: 'Что стало с кровососом который украл у тебя бублика а'
2025-11-12T15:18:19.291416006Z [inf]  2025-11-12 15:18:18 - [РУ]Бот ответил Даниил (5205155596) (модель: limit_exceeded) (token usage: N/A): 'Мля, я заманался с тобой болтать. Приходи в другой раз. (токены закончились, напиши через несколько часов)'
2025-11-12T15:18:30.379802539Z [inf]  2025-11-12 15:18:29 - [РУ]Даниил (5205155596) написал: 'Ахуел ?'
2025-11-12T15:18:31.564145859Z [inf]  2025-11-12 15:18:30 - [РУ]Бот ответил Даниил (5205155596) (модель: llama-3.1-8b-instant) (token usage: 508): 'Этот хуя я еще найду и накажу!'
2025-11-12T15:18:32.859199528Z [inf]  2025-11-12 15:18:30 - [РУ]Mr.Kot (7802831096) написал: 'Колбаса'
2025-11-12T15:18:33.817036574Z [inf]  2025-11-12 15:18:31 - [РУ]Бот ответил Mr.Kot (7802831096) (модель: limit_exceeded) (token usage: N/A): 'Мля, я заманался с тобой болтать. Приходи в другой раз. (токены закончились, напиши через несколько часов)'
2025-11-12T15:18:40.172761113Z [inf]  2025-11-12 15:18:39 - [РУ]Mr.Kot (7802831096) написал: 'Сколько тебе лет'
2025-11-12T15:18:46.200447384Z [inf]  2025-11-12 15:18:45 - [РУ]Бот ответил Mr.Kot (7802831096) (модель: meta-llama/llama-4-maverick-17b-128e-instruct) (token usage: 501): 'Да похуй на мои годы, легенде Зоны не пристало считать возраст. У меня Бублик есть, и то лучше тебя, сука. Мне столько, сколько нужно, чтобы жрать и выживать в этой пизде.'
2025-11-12T15:19:18.491687584Z [inf]  2025-11-12 15:19:17 - [РУ]𝑽𝒊𝒌𝒂 𝑺𝒉𝒓𝒂𝒎𝒊𝒌 (1447354060) написал: 'Это понятно, а картошка будет?'
2025-11-12T15:19:19.422640685Z [inf]  2025-11-12 15:19:18 - [РУ]Бот ответил 𝑽𝒊𝒌𝒂 𝑺𝒉𝒓𝒂𝒎𝒊𝒌 (1447354060) (модель: limit_exceeded) (token usage: N/A): 'Мля, я заманался с тобой болтать. Приходи в другой раз. (токены закончились, напиши через несколько часов)'
2025-11-12T15:19:19.422644610Z [inf]  2025-11-12 15:19:18 - [РУ]Mr.Kot (7802831096) написал: 'Съешь ли ты ЧАЭС ?'
2025-11-12T15:19:19.434870246Z [inf]  2025-11-12 15:19:19 - [РУ]Бот ответил Mr.Kot (7802831096) (модель: limit_exceeded) (token usage: N/A): 'Мля, я заманался с тобой болтать. Приходи в другой раз. (токены закончились, напиши через несколько часов)'
2025-11-12T15:19:24.941657458Z [inf]  2025-11-12 15:19:24 - [РУ]Даниил (5205155596) написал: 'Бармен бесплатное варенье раздаёт а Сидорович колбасу куда первее побежишь'
2025-11-12T15:19:25.860504631Z [inf]  2025-11-12 15:19:25 - [РУ]Бот ответил Даниил (5205155596) (модель: moonshotai/kimi-k2-instruct-0905) (token usage: 660): 'К бармену, хуй с ней с колбасой — варенье-то бесплатное, а Сидорович всё равно накинет цену, старый жадный ублюдок.'
2025-11-12T15:19:31.333811515Z [inf]  2025-11-12 15:19:31 - [РУ]Mr.Kot (7802831096) написал: 'Ты был на Чаэс'
2025-11-12T15:19:33.429367044Z [inf]  2025-11-12 15:19:32 - [РУ]Бот ответил Mr.Kot (7802831096) (модель: qwen/qwen3-32b) (token usage: 612): 'Ошибка. Ответ слишком большой'
2025-11-12T15:19:37.458872858Z [inf]  2025-11-12 15:19:36 - [РУ]Mr.Kot (7802831096) написал: 'Чаэс'
